CANO_RXN_SMILES
*N[C@H](C(=O)*)CCCNC(=N)N.OC[C@H]1O[C@H](OP(=O)(OP(=O)(OC[C@H]2O[C@H]([C@@H]([C@@H]2O)O)n2ccc(=O)[nH]c2=O)O)O)[C@@H]([C@H]([C@@H]1O)O)NC(=O)C>>OC[C@H]1O[C@@H](NC(=N)NCCC[C@@H](C(=O)*)N*)[C@@H]([C@H]([C@@H]1O)O)NC(=O)C.O[C@@H]1[C@@H](COP(=O)(OP(=O)(O)O)O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O
CCCCCCCCCCCCCCCCOC[C@@H](OC(=O)C)CO>>CC(=O)O.CCCCCCCCCCCCCCCCOC[C@H](CO)O
CC/C=C\C/C=C\CC(/C=C/C=C\C/C=C\C/C=C\CCC(=O)O)O>>CC/C=C\C/C=C\CC(=O)/C=C/C=C\C/C=C\C/C=C\CCC(=O)O
O[C@H]1[C@@H](O[C@@H]([C@H]1O)COP(=O)(O)O)Nc1nc(N)nc(c1N)O>>Nc1nc(N)c(c(n1)O)N.O[C@H]1C(O)O[C@@H]([C@H]1O)COP(=O)(O)O
CCCCCCCCCCCCC/C=C/[C@H]([C@@H](NC(=O)C)CO)O.CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(OCC[N+](C)(C)C)O>>CCCCCCCCCCCCC/C=C/[C@H]([C@@H](NC(=O)C)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)O.CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(OCC[N+](C)(C)C)O)O
CCCCC/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O.OC[C@H](COP(=O)(O)O)O>>CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O)O.SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O
OC[C@@H](C(=O)*)NC(=O)c1cccc(c1O)O.OC[C@@H](C(=O)*)NC(=O)c1cccc(c1O)O.OC[C@@H](C(=O)*)NC(=O)c1cccc(c1O)O>>O=C(c1cccc(c1O)O)N[C@H]1COC(=O)[C@H](COC(=O)[C@H](COC1=O)NC(=O)c1cccc(c1O)O)NC(=O)c1cccc(c1O)O
CCCCCCCCCCCC(=O)NCCO>>CCCCCCCCCCCC(=O)O.NCCO
CC[C@@H](C(=O)O[C@H]1C[C@@H](C)C=C2[C@H]1[C@@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@H](C=C2)C)C>>C[C@@H]1C[C@H](O)[C@H]2C(=C1)C=C[C@@H]([C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)C.C[C@H](C(=O)O)CC
O[C@H]1C[C@@H](O[C@@H]1COP(=O)(OP(=O)(O[C@H]1O[C@H](C)C(=O)[C@@H]([C@H]1O)O)O)O)n1cc(C)c(=O)[nH]c1=O>>O[C@H]1C[C@@H](O[C@@H]1COP(=O)(OP(=O)(O[C@H]1O[C@H](C)C(=O)C(=C1)O)O)O)n1cc(C)c(=O)[nH]c1=O
